Group,Target_Kind,Analysis_Type,Avg_R2,Avg_RMSE,Successful_Targets,Total_Targets,N_Tickers,Avg_Cross_Effect
satellite,iv_ret,Intra-group,-0.02569419931932937,1.6480248326372635,2,2,2.0,
satellite,iv,Intra-group,0.7748345569691861,0.09314969511469448,2,2,2.0,
telecom,iv_ret,Intra-group,-0.9002932779954945,0.3974092841026108,2,2,2.0,
telecom,iv,Intra-group,0.6442251058923082,0.02537950764116884,2,2,2.0,
quantum,iv_ret,Intra-group,0.2178892083437993,0.6030632846455747,4,4,4.0,
quantum,iv,Intra-group,0.9800730651965537,0.02325367484958775,4,4,4.0,
satellite ← telecom,iv_ret,Inter-group,,,2,2,,
satellite ← telecom,iv,Inter-group,,,2,2,,
satellite ← quantum,iv_ret,Inter-group,,,2,2,,
satellite ← quantum,iv,Inter-group,,,2,2,,
telecom ← satellite,iv_ret,Inter-group,,,2,2,,
telecom ← satellite,iv,Inter-group,,,2,2,,
telecom ← quantum,iv_ret,Inter-group,,,2,2,,
telecom ← quantum,iv,Inter-group,,,2,2,,
quantum ← satellite,iv_ret,Inter-group,,,4,4,,
quantum ← satellite,iv,Inter-group,,,4,4,,
quantum ← telecom,iv_ret,Inter-group,,,4,4,,
quantum ← telecom,iv,Inter-group,,,4,4,,
