feature,avg_contrib
opt_vol_change_1m,0.015069765970110893
option_type_enc,0.0016798954457044601
opt_volume,8.77658385434188e-05
sym_RGTI,0.0
sym_IONQ,0.0
option_type,0.0
sym_QUBT,0.0
sym_QBTS,0.0
sabr_beta,0.0
days_to_expiry,-0.0006938069127500057
delta,-0.0006979538593441248
opt_vol_roll_15m,-0.0009053293033502996
sabr_rho,-0.001183417160063982
strike_price,-0.002749495441094041
stock_volume,-0.0027617213781923056
rv_30m,-0.002944228472188115
sabr_nu,-0.004557161591947079
vega,-0.005071665160357952
gamma,-0.00618787482380867
time_to_expiry,-0.0065123517997562885
sabr_alpha,-0.007517593912780285
iv,-0.014831368811428547
