feature,perm_importance_mean,perm_importance_std
gamma,0.12467838081783741,0.004687236918039883
iv,0.12266522443626729,0.008267506907919638
time_to_expiry,0.03285216433316342,0.006363859903770543
strike_price,0.029367910798086715,0.0030288248859149463
IVRET_QUBT,0.016516996502665325,0.004894341070673889
IV_QUBT,0.013097691027420044,0.013918772603781498
IV_QBTS,0.011381990675122411,0.0035679440367741605
rv_30m,0.009189389136613458,0.004269088189528957
sabr_rho,0.008054180496346075,0.0011671873618720784
delta,0.006277187453403632,0.002810793192217642
vega,0.005215286469135838,0.00067773099072426
sabr_alpha,0.004875361935059774,0.0009012094492352076
opt_volume,0.00151682627655636,0.0018096523967478838
IVRET_QBTS,0.0010446446936068666,0.002240222126880453
stock_volume,0.0009741712815373171,0.0037463406611496744
IV_IONQ,0.0007994718603788753,0.0004333661341803196
IVRET_RGTI,0.00012589586940430219,0.00021527495013325243
days_to_expiry,3.5122969950995844e-05,0.0002123394177758249
IVRET_IONQ,1.3688575417947213e-05,0.0005561710921327821
sabr_beta,0.0,0.0
sym_RGTI,0.0,0.0
option_type,0.0,0.0
sym_IONQ,0.0,0.0
sym_QBTS,0.0,0.0
sym_QUBT,0.0,0.0
IV_RGTI,-6.636686845529205e-06,0.0006725442359209479
opt_vol_change_1m,-0.00033659550328989373,0.00020136882709336428
option_type_enc,-0.0010705699774498979,0.0014878630977633517
sabr_nu,-0.0015195654683887393,0.00039778282229075394
opt_vol_roll_15m,-0.006005961765288425,0.0014923393145059648
