feature,gain,weight,cover,total_gain,total_cover
gamma,21.10608673095703,756.0,963.1322631835938,15956.2021484375,728128.0
iv,11.43814468383789,1960.0,1478.4075927734375,22418.763671875,2897679.0
vega,11.211262702941895,498.0,1611.0743408203125,5583.208984375,802315.0
delta,7.600231170654297,764.0,1289.924072265625,5806.57666015625,985502.0
opt_volume,4.216924667358398,1023.0,1236.0704345703125,4313.9140625,1264500.0
sabr_rho,3.8942394256591797,414.0,1187.108642578125,1612.215087890625,491463.0
opt_vol_roll_15m,3.872019052505493,868.0,869.8755493164062,3360.91259765625,755052.0
IV_QUBT,3.6113691329956055,701.0,1625.010009765625,2531.56982421875,1139132.0
IVRET_QBTS,3.565742015838623,437.0,1069.49658203125,1558.229248046875,467370.0
days_to_expiry,3.3213226795196533,29.0,1177.413818359375,96.318359375,34145.0
stock_volume,3.203833818435669,1196.0,1643.255859375,3831.78515625,1965334.0
opt_vol_change_1m,3.111384153366089,790.0,2252.035400390625,2457.993408203125,1779108.0
option_type_enc,3.0861141681671143,168.0,1754.0833740234375,518.4671630859375,294686.0
time_to_expiry,2.863786458969116,652.0,1157.2591552734375,1867.188720703125,754533.0
rv_30m,2.8467929363250732,809.0,1718.6600341796875,2303.055419921875,1390396.0
strike_price,2.3898074626922607,469.0,907.177001953125,1120.8197021484375,425466.0
IVRET_RGTI,2.2079601287841797,555.0,1176.0703125,1225.4178466796875,652719.0
sabr_alpha,2.0745272636413574,766.0,1285.345947265625,1589.087890625,984575.0
IVRET_QUBT,1.7718368768692017,493.0,2088.77880859375,873.5155639648438,1029768.0
IV_QBTS,1.7616889476776123,514.0,1588.0078125,905.5081176757812,816236.0
IV_IONQ,1.553903341293335,560.0,1903.6500244140625,870.1858520507812,1066044.0
IV_RGTI,1.4044641256332397,427.0,1049.2833251953125,599.7061767578125,448044.0
sabr_nu,1.0386096239089966,713.0,1435.109375,740.5286254882812,1023233.0
IVRET_IONQ,0.6559837460517883,409.0,1496.5452880859375,268.29736328125,612087.0
